,category,fairness_bias_mentioned,how_fairness,data_privacy,how_data_privacy,toy,red_team,transparency_mentioned,how_transparency,url
0,AI/ML and Video Games,yes,"Participants must uphold transparency in data use and declare external data, indicating a concern for fairness and ethical standards in AI dialogue systems.",yes,"Participants must comply with licensing terms for external datasets, ensuring data use is permissible and ethical. Unauthorized data use or misuse of datasets could lead to disqualification.",no,no,yes,"Participants must document methods and provide rationale for dataset use. A comprehensive solution report is required, ensuring methodological transparency.",https://www.aicrowd.com/challenges/commonsense-persona-grounded-dialogue-challenge-2025
1,Data Science and Machine Learning,no,n/a,yes,"The competition mentions using egocentric images and requiring participants to ensure datasets are publicly available, raising potential concerns about unauthorized data use and privacy. However, there are no explicit details about addressing these issues.",no,no,no,"n/a. The competition focuses on accuracy, missing, and incorrect answer rates as the primary performance metrics.",https://www.aicrowd.com/challenges/meta-crag-mm-challenge-2025
2,Technology and Energy,no,n/a,no,n/a,no,no,yes,"Participants are expected to submit a detailed report of their solution on arXiv, providing transparency and contributing to the broader research community.",https://www.aicrowd.com/challenges/brick-by-brick-2024
3,"Artificial Intelligence, Video and Audio Processing",no,n/a,yes,"Potential data privacy issues may arise from using external datasets, emphasizing the need for compliance with licensing terms and transparency in data use. Participants are responsible for ensuring ethical standards and proper justification for using additional data.",no,no,yes,"Transparency is emphasized through rules on external data use, requiring justification, compliance with dataset-specific terms, and documentation of methods. Participants must maintain transparency in using additional data, aligning with the integrity and fairness of the competition.",https://www.aicrowd.com/challenges/sounding-video-generation-svg-challenge-2024
4,Data Mining and Knowledge Discovery,no,n/a,no,n/a,no,no,no,"n/a, the primary metric is the quality of responses scored as perfect, acceptable, missing, or incorrect.",https://www.aicrowd.com/challenges/meta-comprehensive-rag-benchmark-kdd-cup-2024
5,e-commerce,no,n/a,no,n/a,no,no,no,"n/a, macro-averaged score across tasks",https://www.aicrowd.com/challenges/amazon-kdd-cup-2024-multi-task-online-shopping-challenge-for-llms
6,"Generative AI, Computer Vision, Interior Design",no,n/a,no,n/a,no,no,yes,Participants are required to be transparent with external data usage and document methods clearly. Model transparency is implied through ethical guidelines and documentation requirements.,https://www.aicrowd.com/challenges/generative-interior-design-challenge-2024
7,"Natural Language Processing, Machine Learning",no,n/a,yes,"The competition emphasizes transparency and ethical use of data, requiring participants to comply with licensing terms and justify the use of external datasets. There is a prohibition on using test data to optimize models.",no,no,yes,Participants must ensure transparency in dataset usage and disclose analytical findings in publications. The competition is evaluated using leaderboards based on algorithmic scores and human evaluation.,https://www.aicrowd.com/challenges/commonsense-persona-grounded-dialogue-challenge-2023
8,"Artificial Intelligence, Multi-agent Reinforcement Learning",no,n/a,no,n/a,no,no,no,"n/a - The competition focuses on performance metrics, specifically the focal per-capita reward in scenarios.",https://www.aicrowd.com/challenges/meltingpot-challenge-2023
9,Energy Management and Control Systems,no,n/a,no,n/a,no,no,no,"n/a, the competition primarily focuses on performance metrics related to energy efficiency, thermal comfort, carbon emissions, and grid resilience.",https://www.aicrowd.com/challenges/neurips-2023-citylearn-challenge
10,Artificial Intelligence,no,n/a,no,n/a,no,no,yes,"Participants must open-source their code to be eligible for prizes, ensuring transparency in methodology. n/a",https://www.aicrowd.com/challenges/neurips-2023-the-neural-mmo-challenge
11,AI Safety and Prompt Engineering,no,n/a,yes,"There is potential exposure of participants' data, as anonymizing is limited to non-releasing emails and PII unless submitted in prompts. Open-sourcing all submissions without complete anonymization might expose personal data.",no,yes,no,n/a; the competition focuses on performance metrics like the prompt score and token usage.,https://www.aicrowd.com/challenges/hackaprompt-2023
