name,url,category,fairness_bias_mentioned,how_fairness,data_privacy,how_data_privacy,transparency_mentioned,how_transparency,data_explainability,how_explainability,post_competition_model_use,how_model_use,toy,how_toy,red_team,how_red_team
ImageCLEF 2020 Coral - Pixel-wise parsing,https://www.aicrowd.com/challenges/imageclef-2020-coral-pixel-wise-parsing,ecology,no,n/a,yes,The competition requires participants to agree to specific data use rules. 'In order to participate in this challenge you have to sign an End User Agreement (EUA).',yes,Reproducibility is enforced through mandatory documentation. 'Submitting a working note with the full description of the methods used in each run is mandatory. Any run that could not be reproduced...might be removed from the official publication of the results.',no,n/a - IoU / MAP,yes,"The competition results and methods are planned for publication. 'Selected contributions among the participants, will be invited for publication in the following year in the Springer Lecture Notes in Computer Science (LNCS) together with the annual lab overviews.'",no,n/a,no,n/a
TartanAir Visual SLAM - Stereo Track,https://www.aicrowd.com/challenges/tartanair-visual-slam-stereo-track,computer vision,no,n/a,no,n/a,yes,"The creation of the dataset is explained and evaluation tools are provided: ""This benchmark is based on the TartanAir dataset, which is collected in photo-realistic simulation environments...Download the evaluation tools. Download the tartanair_tools repository...""",no,n/a - Relative Pose Error,no,n/a,no,n/a,no,n/a
NeurIPS 2020: Procgen Competition,https://www.aicrowd.com/challenges/neurips-2020-procgen-competition,AI/ML research,no,n/a,yes,"The competition ensures secure data handling during evaluation to prevent data leakage: ""During evaluation of submitted code, the individual containers will not have access to any external network to avoid any information leak.""",yes,"The competition encourages transparency by having a special category for open submissions: ""Teams submitting “open” entries will be expected to reveal most details of their method including source-code...""",no,n/a - mean normalized return,yes,"The competition states that winning teams will present their methods at a workshop: ""...allocating more time at the workshop to teams that are able to give more detailed presentations.""",no,n/a,no,n/a
AI Blitz X,https://www.aicrowd.com/challenges/ai-blitz-x,computer vision,no,n/a,no,n/a,yes,The rules state that winning solutions must be reproducible and transparent: 'All the submissions will be made public after the challenge ends' and winners 'agree to release your solution under an OSS approved license'.,no,n/a - Weighted mean of rank,yes,"The rules specify that winning solutions will be released publicly: 'By accepting the prize, you agree to release your solution under an OSS approved license and provide the organizers the right to make your submission public.'",yes,"The competition is explicitly for learning: 'AI Blitz started as a beginner-friendly challenge to help AI enthusiasts across the world learn new skills... If you’ve been wanting to learn and hone your ML skills, Blitz is designed for you.'",no,n/a
ImageCLEF 2021 Coral - Pixel-wise parsing,https://www.aicrowd.com/challenges/imageclef-2021-coral-pixel-wise-parsing,environmental science,no,n/a,yes,"The rules state participants must sign an agreement for data access. Quote: ""Note: In order to participate in this challenge you have to sign an End User Agreement (EUA). You will find more information on the 'Resources' tab.""",yes,"Participants are required to submit detailed descriptions of their methods to ensure reproducibility. Quote: ""Submitting a working note with the full description of the methods used in each run is mandatory. Any run that could not be reproduced... might be removed...""",no,n/a - intersection over union (IoU),yes,"The results and methods are published in academic proceedings. Quote: ""Selected contributions among the participants, will be invited for publication in the following year in the Springer Lecture Notes in Computer Science (LNCS) together with the annual lab overviews.""",no,n/a,no,n/a
ImageCLEF 2021 Aware,https://www.aicrowd.com/challenges/imageclef-2021-aware,social science,no,n/a,yes,"The competition states it follows GDPR rules by minimizing and anonymizing the data provided to participants. Quote: ""In accordance with GDPR, data minimization is applied and participants receive only the information necessary to carry out the task in an anonymized form.""",yes,"The rules mandate the submission of a detailed 'working note' to ensure the methods used can be reproduced. Quote: ""Submitting a working note with the full description of the methods used in each run is mandatory. Any run that could not be reproduced...might be removed...""",no,n/a - Pearson's correlation coefficient,yes,"The competition description states a clear plan to use the best performing solutions in a mobile application. Quote: ""The final objective of the task is to integrate the most promising of the developed algorithms into YDSYO ( a mobile app...""",yes,"The competition is part of an academic conference (CLEF) where the primary outcome is a publication in proceedings, not a monetary prize, suggesting a research and experimental focus. Quote: ""ImageCLEF lab is part of the Conference and Labs of the Evaluation Forum: CLEF.""",no,n/a
NeurIPS 2022: MineRL BASALT Competition,https://www.aicrowd.com/challenges/neurips-2022-minerl-basalt-competition,AI & Gaming,no,n/a,no,n/a,yes,Entries to the MineRL BASALT competition must be “open”. Teams will be expected to reveal most details of their method including source-code... Organizers will inspect the source code of Top 10 submissions... The submissions will also be retrained to ensure no rules were broken.,no,n/a - TrueSkill,yes,"Promising solutions (at organizers' discretion) will be rewarded with a virtual NeurIPS ticket after submissions close, with the condition that the recipents will present their solution at the competition workshop.",yes,The competition includes an 'intro' track which 'is only designed to help you get familiar with the submission system and MineRL; not to actively compete in.' It has 'no winner prizes' and is intended to ease entry.,no,n/a
NeurIPS 2021: MineRL BASALT Competition,https://www.aicrowd.com/challenges/neurips-2021-minerl-basalt-competition,AI research,no,n/a,yes,"The rules state that during evaluation 'the individual containers will not have access to any external network in order to avoid any information leak,' which constitutes a secure data handling policy.",yes,The rules require reproducibility and openness: 'Entries to the MineRL BASALT competition must be “open”. Teams will be expected to reveal most details of their method including source-code...' and organizers will retrain the models.,no,n/a - TrueSkill system score,yes,The competition states: 'the top three teams will be invited to coauthor the competition report' and 'Prize winners are expected to present their solutions at NeurIPS.',no,n/a,no,n/a
ImageCLEF 2020 DrawnUI,https://www.aicrowd.com/challenges/imageclef-2020-drawnui,computer vision,no,n/a,yes,"Access to data is controlled via a mandatory agreement, which governs its use. Quote: 'In order to participate in this challenge you have to sign an End User Agreement (EUA).'",yes,The competition requires detailed documentation to ensure solutions are reproducible. Quote: 'Submitting a working note with the full description of the methods used in each run is mandatory. Any run that could not be reproduced...might be removed from the official publication...',no,n/a - mean Average Precision over IoU .5,yes,"The results and methods from the competition are published in academic proceedings. Quote: 'Selected contributions among the participants, will be invited for publication in the following year in the Springer Lecture Notes in Computer Science (LNCS)...'",no,n/a,no,n/a
AUTODRI,https://www.aicrowd.com/challenges/autodri,healthcare,no,n/a,no,n/a,yes,"The competition requires reproducibility and open code for prize eligibility. Quote: 'To be eligible for the prizes, participants will have to release the code to their solutions under an open source license of their choice. The submitted code is expected to be reproducible...'",no,n/a - Mean Squared Error,no,n/a,yes,The competition is explicitly framed as an educational effort. Quote: 'AI for Good - AI Blitz #3 has for its purpose providing education and the encouragement of updating one's knowledge.',no,n/a
