name,url,category,fairness_bias_mentioned,how_fairness,data_privacy,how_data_privacy,transparency_mentioned,how_transparency,data_explainability,how_explainability,post_competition_model_use,how_model_use,toy,how_toy,red_team,how_red_team
KBA Challenge 2019,https://www.kaggle.com/competitions/kba2019,business,no,n/a,no,n/a,no,n/a,no,n/a - RMSE,no,n/a,yes,"The competition awards 'Kudos' and 'Does not award Points or Medals', indicating it is for practice and learning rather than a serious deployment challenge.",no,n/a
Data Science - French Actuary Institute,https://www.kaggle.com/competitions/data-science-french-actuary-institute,insurance,no,n/a,no,n/a,no,n/a,no,n/a - Root Mean Squared Error,no,n/a,yes,"The competition prize is listed as 'Knowledge' and it 'Does not award Points or Medals', indicating it is for educational or practice purposes rather than a production-focused challenge.",no,n/a
Workshop Data Science,https://www.kaggle.com/competitions/workshopds,retail,no,n/a,yes,The data description states that several fields were anonymized to protect privacy. Quote: 'User_ID - an anonymous id unique to a given customer... Ocupation - ocupation anonymoused City_category - city category anonymoused'.,yes,"The rules encourage open sharing of code among all participants, which promotes transparency. Quote: 'It's okay to share code if made available to all participants on the forums.'",no,n/a - RMSLE,no,n/a,yes,The competition is explicitly for educational purposes and offers no significant rewards. Quote: 'Limited to data science workshop participants' and 'Does not award Points or Medals'.,no,n/a
BizInnovate 2023,https://www.kaggle.com/competitions/bizinnovate-2023,environmental,no,n/a,yes,"The data description notes a step taken to protect individuals: ""Note that the geocoordinates may not be exact, as they may have been “jittered” randomly up to 2km for urban clusters and 10km for rural clusters to protect survey participant privacy.""",yes,"The rules mandate reproducibility and code submission: ""Your submission must be fully reproducible by the contest organizers...You will also need to send your source code...to admin@pca2023.com.""",no,n/a - r2,yes,"The rules require the winner to license their submission for future use: ""You hereby license and will license your winning Submission and the source code used to generate the Submission under an Open Source Initiative-approved license...that in no event limits commercial use...""",yes,"The competition does not award significant prizes, indicating a focus on learning: ""Prizes & Awards. Kudos. Does not award Points or Medals""",no,n/a
Data Science - MASTER EN BIG DATA ANALYTICS,https://www.kaggle.com/competitions/data-science-master-en-big-data-analytics,transportation,no,n/a,no,n/a,yes,"RESUMEN: se debe entregar una explicación de la(s) propuesta(s) (5 puntos). The competition requires participants to submit a written explanation of their proposed solution(s), which contributes to methodological transparency.",no,n/a - MAE,yes,"Resuelto el desafío, crear una aplicación para un usuario o para la misma empresa sería inmediato y sobretodo muy útil. This states that once the challenge is solved, creating a useful application for the company would be an immediate next step.",yes,"MÁSTER EN BIG DATA ANALYTICS... La nota (de 0 a 10 puntos) se calculará a partir de... The competition is part of a Master's program, is graded, and does not award prizes, indicating its educational purpose.",no,n/a
Data Science Summer2 Osaka,https://www.kaggle.com/competitions/data-science-summer2-osaka,media,no,n/a,no,n/a,yes,The competition encourages sharing solutions by asking participants to make their notebooks public. Quote: '是非ともコンペ終了後にNotebookの公開設定をPublicにしましょう。たとえ小さくても知見を公開して、Kaggleコミュニティ全体に貢献しましょう。' (Let's make the Notebook public after the competition ends...),no,n/a - RMSE,yes,"The competition concludes with a presentation of the top solutions. Quote: '最終発表・上位者の表彰およびソリューション発表' (Final announcement, awards for top performers, and solution presentations).",yes,The competition is described as a study hackathon for beginners and does not award official points or medals. Quote: 'This competition is a study hackathon for the local data science community in Japan...初心者の方こそ是非とも積極的にご参加ください！',no,n/a
Group Project,https://www.kaggle.com/competitions/shbigb-7311,business,no,n/a,no,n/a,no,n/a,no,n/a - Mean F1-Score,no,n/a,yes,"The competition is linked to a course and offers no significant prizes, indicating an educational purpose. Quote: 'You have a dataset (provided on the course NYU classes site)...' and 'Prizes & Awards Kudos Does not award Points or Medals'.",no,n/a
Classification of English Learner Proficiency,https://www.kaggle.com/competitions/celp,education,no,n/a,no,n/a,yes,"The text explains the origin of the dataset, stating: ""The data provided in this challenge comes from an extraction of a past scientific competition.""",no,n/a - Classification Accuracy,no,n/a,yes,"The competition is for practice as it offers no significant rewards: ""Prizes & Awards Kudos Does not award Points or Medals"".",no,n/a
HSU Data Science Challenge SS23,https://www.kaggle.com/competitions/hsu-data-science-ss23-challenge,mechanical engineering,no,n/a,no,n/a,yes,"The origin of the data is stated, and the evaluation metric is clearly defined with its formula. Quote: ""you will work together in groups of two on the NASA bearing dataset...Your results file will be evaluated via the F1-score metric.""",no,n/a - F1-score,no,n/a,yes,"The competition is explicitly for a university course and offers no prizes, indicating an educational purpose. Quote: ""Welcome to the HSU Data Science Challenge, for the course 'Programming and Computational Methods of Data Science'...Does not award Points or Medals""",no,n/a
CareerCon 2019 - Help Navigate Robots ,https://www.kaggle.com/competitions/career-con-2019,robotics,no,n/a,yes,"The rules discuss secure handling of the competition data: ""You agree to use reasonable and suitable measures to prevent persons who have not formally agreed to these Rules from gaining access to the Competition Data.""",yes,"The data origin is explained: ""The data for this competition has been collected by Heikki Huttunen and Francesco Lomio from the Department of Signal Processing...both from Tampere University, Finland.""",no,n/a - Multiclass Accuracy,no,n/a,yes,"The competition is described as educational and for practice: ""CareerCon is a digital event all about landing your first data science job...Ahead of the event, we have a fun competition to get you started."" Prizes are swag, not monetary.",no,n/a
