,category,fairness_bias_mentioned,how_fairness,data_privacy,how_data_privacy,toy,red_team,transparency_mentioned,how_transparency,url
0,Artificial Intelligence and Computer Vision,no,n/a,yes,"The dataset is derived from YFCC100M, which may include publicly available data, but there is no mention of handling sensitive information or permissions, indicating potential privacy issues.",no,no,no,n/a. The competition focuses on micro-average precision as the key performance metric.,https://www.drivendata.org/competitions/group/meta-video-similarity/
1,Privacy-enhancing technologies and federated learning,no,n/a,yes,"The competition involves analyzing sensitive data, such as financial and pandemic-related data. Privacy issues are addressed by using federated learning techniques to ensure input and output privacy. However, the effectiveness of these techniques depends on their implementation.",no,yes,yes,Competitors must prove or demonstrate the privacy guarantees offered by their solution in a comprehensible form for data owners or regulators.,https://www.drivendata.org/competitions/group/uk-federated-learning/
2,Environmental Science,no,n/a,no,n/a,no,no,no,"n/a, Average Root Mean Square Error (RMSE)",https://www.drivendata.org/competitions/99/biomass-estimation/
3,Space Exploration,no,n/a,no,n/a,no,no,no,n/a - performance metric will be used for leaderboard ranking while competition is open,https://www.drivendata.org/competitions/97/nasa-mars-gcms/
4,Data Privacy and Security,no,n/a,yes,"The challenge focuses on developing privacy-preserving federated learning solutions to ensure sensitive data remains confidential, addressing privacy threats during training and inference.",no,yes,yes,Usability and Explainability are part of the evaluation criteria for the solutions.,https://www.drivendata.org/competitions/group/nist-federated-learning/
5,Wildlife Conservation,no,n/a,no,n/a,no,no,no,"n/a, metric is model performance under various scenario-based evaluations",https://www.drivendata.org/competitions/96/beluga-whales/
6,Wildlife Conservation/Computer Vision,no,n/a,no,n/a,no,no,no,n/a. The metric is log loss.,https://www.drivendata.org/competitions/87/competition-image-classification-wildlife-conservation/
7,Space Exploration,no,n/a,no,n/a,no,no,no,"n/a, models were evaluated primarily on the performance metric.",https://www.drivendata.org/competitions/93/nasa-mars-spectrometry/
8,Aviation,no,n/a,no,n/a,no,no,no,n/a. The competition evaluates models based on log loss.,https://www.drivendata.org/competitions/group/competition-nasa-airport-configuration/
9,Environmental Science,no,n/a,no,n/a,no,no,no,n/a. The competition uses the coefficient of determination R2 as the sole performance metric.,https://www.drivendata.org/competitions/group/competition-air-quality/
10,Environmental Science,no,n/a,no,n/a,no,no,no,n/a RMSE,https://www.drivendata.org/competitions/group/competition-reclamation-snow-water/
11,Remote Sensing,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on the Jaccard index as the performance metric.,https://www.drivendata.org/competitions/83/cloud-cover/
